Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Brendan Maurice Walsh (Runs: 101 | 1st: 7 | 2nd: 8 | 3rd: 3 | 4th: 4 | Win Money: 45600 | Place Money: 26240 | Total Prize Money: 71840)
Denis Gerard Hogan (Runs: 174 | 1st: 6 | 2nd: 16 | 3rd: 20 | 4th: 13 | Win Money: 45900 | Place Money: 103815 | Total Prize Money: 149715)
J.P. Flavin (Runs: 80 | 1st: 6 | 2nd: 2 | 3rd: 8 | 4th: 3 | Win Money: 47100 | Place Money: 63050 | Total Prize Money: 110150)
Thomas Cooper (Runs: 56 | 1st: 6 | 2nd: 5 | 3rd: 10 | 4th: 9 | Win Money: 46500 | Place Money: 45825 | Total Prize Money: 92325)
Patrick J.Flynn (Runs: 35 | 1st: 6 | 2nd: 7 | 3rd: 3 | 4th: 2 | Win Money: 66000 | Place Money: 24845 | Total Prize Money: 90845)
David Kenneth Budds (Runs: 78 | 1st: 6 | 2nd: 7 | 3rd: 7 | 4th: 3 | Win Money: 46200 | Place Money: 35635 | Total Prize Money: 81835)
John E. & Thomas Kiely (Runs: 62 | 1st: 6 | 2nd: 7 | 3rd: 8 | 4th: 7 | Win Money: 42300 | Place Money: 32150 | Total Prize Money: 74450)
P.M.J.Doyle (Runs: 45 | 1st: 6 | 2nd: 6 | 3rd: 8 | 4th: 5 | Win Money: 42600 | Place Money: 31050 | Total Prize Money: 73650)
Jonathan Sweeney (Runs: 32 | 1st: 6 | 2nd: 3 | 3rd: 5 | 4th: 2 | Win Money: 42300 | Place Money: 30410 | Total Prize Money: 72710)
Anthony McCann (Runs: 78 | 1st: 6 | 2nd: 4 | 3rd: 4 | 4th: 7 | Win Money: 44100 | Place Money: 24575 | Total Prize Money: 68675)
D.M. Christie (Runs: 53 | 1st: 6 | 2nd: 4 | 3rd: 4 | 4th: 10 | Win Money: 43200 | Place Money: 22410 | Total Prize Money: 65610)
H.Rogers (Runs: 43 | 1st: 5 | 2nd: 5 | 3rd: 6 | 4th: 5 | Win Money: 91500 | Place Money: 48210 | Total Prize Money: 139710)
P.A.Fahy (Runs: 100 | 1st: 5 | 2nd: 3 | 3rd: 5 | 4th: 5 | Win Money: 77700 | Place Money: 39990 | Total Prize Money: 117690)
Robert Tyner (Runs: 82 | 1st: 5 | 2nd: 2 | 3rd: 4 | 4th: 4 | Win Money: 87300 | Place Money: 16915 | Total Prize Money: 104215)
Sean Thomas Doyle (Runs: 38 | 1st: 5 | 2nd: 5 | 3rd: 1 | 4th: 3 | Win Money: 56400 | Place Money: 40435 | Total Prize Money: 96835)
Ray Hackett (Runs: 84 | 1st: 5 | 2nd: 6 | 3rd: 7 | 4th: 6 | Win Money: 52200 | Place Money: 34565 | Total Prize Money: 86765)
James Andrew Fahey (Runs: 78 | 1st: 5 | 2nd: 5 | 3rd: 6 | 4th: 5 | Win Money: 54900 | Place Money: 27930 | Total Prize Money: 82830)
Ms Margaret Mullins (Runs: 68 | 1st: 5 | 2nd: 3 | 3rd: 8 | 4th: 4 | Win Money: 43800 | Place Money: 33270 | Total Prize Money: 77070)
